canonical_id,name,mapping_method,mapping_confidence,metadata_source_count
can_2cfc7986fdba,Gedung Serba Guna Taman Kehati,source_record_id,1.0,1
can_b0e5185e555e,Kuala Mesuji,source_record_id,1.0,1
can_24edbb246283,Taman Gedung Ram,source_record_id,1.0,1
can_044ba5b087e3,Tempat nyore wong tulus,source_record_id,1.0,1
can_af6e64f6fb43,Sawah Anton kian sp5,source_record_id,1.0,1
can_47488bf0fc45,sawah adnan,source_record_id,1.0,1
can_d81aa0fa427b,Sawah Aris Putra,source_record_id,1.0,1
can_712fbb4d50b9,Jembatan Gantung 28,source_record_id,1.0,1
can_6d344c26c3c7,Taman Merdeka Kota Metro,source_record_id,1.0,1
can_4ec06701eef2,Taman bunga Celosia Nandini,source_record_id,1.0,1
can_0ea29224c54b,Griya sawah,source_record_id,1.0,1
can_6fd6f7a7a4fd,Masjid Agung Taqwa Kota Metro,source_record_id,1.0,1
can_6e090b1dc62c,Nuwo Kayew,source_record_id,1.0,1
can_0184d61fb09d,Hutan Kota Stadion Tejosari,source_record_id,1.0,1
can_5b090a3eef9a,Taman Yosomulyo,source_record_id,1.0,1
can_11181c5bec13,Taman berwarna pingled 21,source_record_id,1.0,1
can_06ea93392bfd,Taman berwarna pingled 2 satoe,source_record_id,1.0,1
can_58c807b2db79,Taman berwarna pingled 22,source_record_id,1.0,1
can_73315375b2b4,Bukit Panjerejo,source_record_id,1.0,1
can_0ab679fca5a8,Ternak Lele Area Taman Sabin,source_record_id,1.0,1
can_91cbaf568da3,TAMAN BUMEN,source_record_id,1.0,1
can_a782197a9c50,Batas desa Ambarawa barat sumberagung,source_record_id,1.0,1
can_87975ba63347,TUGU GAJAH BARBEL PRINGSEWU,source_record_id,1.0,1
can_a673a677b7a1,Wisata Ndoro Putri (view jembatan way sekampung),source_record_id,1.0,1
can_b4a866f13078,Camping island,source_record_id,1.0,1
can_3fed28a229ed,Taman bunga buah bukit sion,source_record_id,1.0,1
can_3349365744d5,Bukit Cemara Tegal sari,source_record_id,1.0,1
can_d44e6dc9baf4,Gadingreju,source_record_id,1.0,1
can_5f8aebc62c3b,Khalisaa,source_record_id,1.0,1
can_2f84aa658420,Sawahku 4300,source_record_id,1.0,1
can_021c5626431e,GR.DONK,source_record_id,1.0,1
can_0091b7447287,Kebun Jeruk Pak Supar,source_record_id,1.0,1
can_1dd38a94e626,Taman SMA Negeri 1 Sukoharjo,source_record_id,1.0,1
can_adca6edc5471,LAPKOL GEMPAR,source_record_id,1.0,1
can_168c0626e801,Sawah dede lili,source_record_id,1.0,1
can_0776813a925a,Kanal Y,source_record_id,1.0,1
can_72cb6f83970c,Pos Air BD. Sejahtera,source_record_id,1.0,1
can_b8cd349439a8,Greenhouse PP Nurul Fattah,source_record_id,1.0,1
can_5dd47abc65d1,Kolam Renang Tirta Garden,source_record_id,1.0,1
can_15dc7c773782,Taman Tugu Dodos,source_record_id,1.0,1
can_7ffcb2575c29,Lapangan Banjar Margo,source_record_id,1.0,1
can_564df5c7de36,Spot toman,source_record_id,1.0,1
can_0c8172d3ecb5,Taman Ramah Anak,source_record_id,1.0,1
can_6cd30a8f7045,Simpang Wisata Cakat Raya,source_record_id,1.0,1
can_48b7e18df94a,Tiwii,source_record_id,1.0,1
can_60213ad709e9,Taman Bunderan Pasar Lama,source_record_id,1.0,1
can_fd63dd0c8c25,Sawah wayang Ricky,source_record_id,1.0,1
can_dc3224d929b6,RUMAH MAMAK,source_record_id,1.0,1
can_004135856044,Tugu Empat Marga,source_record_id,1.0,1
can_74ca5e6c8a7c,lemahe mbahmu,source_record_id,1.0,1
can_003c18b65ec6,Talang Kappung ST. Agung,source_record_id,1.0,1
can_038cbd6c819e,Heriyansyah Hometown,source_record_id,1.0,1
can_465fe1a4cbc7,Wall climbing Politeknik Tunas Garuda,source_record_id,1.0,1
can_81dc1c9f1e25,TAMAN TIYUH MULYA SARI,source_record_id,1.0,1
can_2f428dbb6ad1,Alun alun Agung,source_record_id,1.0,1
can_1c185bb8d31e,Embung Way Sumber Jaya,source_record_id,1.0,1
can_7267a0673e60,Perkebunan Jambu Kristal Gusanto,source_record_id,1.0,1
can_07fc88875adc,Embung Way Balam Jaya,source_record_id,1.0,1
can_96701f380902,Kebun singkong,source_record_id,1.0,1
can_2c95a7b80b4b,Nyapah Nisom a k,source_record_id,1.0,1
can_e8066416c183,FMM Panaragan,source_record_id,1.0,1
can_9460594145a4,Taman kuda mulyosari,source_record_id,1.0,1
can_ea28fb1041fe,Bumi Perkemahan Bangun Jaya,source_record_id,1.0,1
can_43fd39fb5671,Agro wisata,source_record_id,1.0,1
can_03603652006f,Satwa Wahana & Wisata Bumi Kedaton,unmapped,0.0,0
can_06c83a52d214,Tugu Raden Inten II,unmapped,0.0,0
can_22bf0ec57e34,SANHOK,unmapped,0.0,0
can_761c34478390,Tugu Pena Ceria,unmapped,0.0,0
can_a05151d6b1d4,Trumpoong Park,unmapped,0.0,0
can_0eee9f90bb8b,Way Belerang Simpur,unmapped,0.0,0
can_084c24db31c1,Tirtayasa Summit,unmapped,0.0,0
can_25a23bbd64cd,Siger Park Bakauheni Harbour City,unmapped,0.0,0
can_044dc28e2a87,Bukit Rindingan,unmapped,0.0,0
can_da49b0d74f1a,Gunung Dempu,unmapped,0.0,0
can_0db511e5fe3f,Simpang tiga,unmapped,0.0,0
can_198553114e0e,Lapangan Pemuda Ketapang,unmapped,0.0,0
can_fd1dbf505059,Waterpark Kali miring,unmapped,0.0,0
can_10e7609207ba,Tangkit Tebak,unmapped,0.0,0
can_23857140564f,Water Boom Galaxy,unmapped,0.0,0
can_0f49826fcdf9,Alun-alun Panarangan,unmapped,0.0,0
can_135649179b4e,Suoh,unmapped,0.0,0
can_795db152eaed,keramikan,unmapped,0.0,0
can_1084427b1bc7,TUGU PERBATASAN,unmapped,0.0,0
can_2f853345a71b,TUGU KB,unmapped,0.0,0
can_267739168349,TUGU BATAS CANGGU-PEKON BALAK,unmapped,0.0,0
can_29c719c41a4d,TUGU BATAS CANGGU-KOTA BESI,unmapped,0.0,0
can_0eb029a1fef8,Cagar Budaya Sipahit Lidah,unmapped,0.0,0
can_09bb1abed975,Sunrise Beach of PLS,unmapped,0.0,0
can_170f589d3b6c,Snorkeling point,unmapped,0.0,0
can_32759e1cb3ab,TUGU ANTRIDA,unmapped,0.0,0
can_0568deac000e,TAMAN KOTA Unit II Banjar Agung,unmapped,0.0,0
can_0c256d059ae4,BK 2,unmapped,0.0,0
can_edb376da399b,Simpang WRP Home,unmapped,0.0,0
